"Depth_m","CuAl"
263.42,6.7948717948718
263.431,4.43099273607748
263.442,4.88372093023256
263.453,5.34351145038168
263.464,5.6857855361596
263.476,4.39393939393939
263.487,5.17730496453901
263.498,5.85714285714286
263.509,8.80794701986755
263.521,30.3764320785597
263.532,8.6090775988287
263.543,5.95973154362416
263.554,5.2991452991453
263.566,4.48905109489051
263.577,4.49704142011834
263.588,4.29411764705882
263.599,8.43575418994413
263.61,31.2141882673943
263.622,5.39196940726577
263.633,5.24850894632207
263.644,10.4320987654321
263.655,41.4540059347181
263.667,33.9974457215837
263.678,14.7305389221557
263.689,7.23926380368098
263.7,6.68965517241379
263.711,9.32142857142857
263.723,13.0088495575221
263.734,6.23126338329764
263.745,8.55421686746988
263.756,19.0602055800294
263.768,22.8888888888889
263.779,15.2276559865093
263.79,5.93959731543624
263.801,24.1207349081365
263.812,5.95155709342561
263.824,2.35991379310345
263.835,3.06490384615385
263.846,2.88732394366197
263.857,17.1428571428571
263.869,6.65094339622641
263.88,6.14864864864865
263.891,6.91244239631336
263.902,9.00634249471459
263.913,29.5498392282958
263.925,16.2424242424242
263.936,8.02325581395349
263.947,8.12366737739872
263.958,3.95876288659794
263.97,4.95967741935484
263.981,5.21288837744534
263.992,4.28571428571429
264.003,4.04624277456647
264.014,8.86035313001605
264.026,5.49167927382753
264.037,9.05660377358491
264.048,5.10204081632653
264.059,6.84391080617496
264.071,10.2127659574468
264.082,6.19565217391304
264.093,7.08818635607321
264.104,25.1697127937337
264.116,24.8899755501222
264.127,8.31275720164609
264.138,5.68014705882353
264.149,5.875
264.16,9.86274509803922
264.172,42.8943089430894
264.183,7.14566929133858
264.194,5.35294117647059
264.205,6.29032258064516
264.217,17.8796169630643
264.228,4
264.239,4.78468899521531
264.25,5.47244094488189
264.261,19.0422535211268
264.273,5.04098360655738
264.295,5.47717842323651
264.306,5.32710280373832
264.318,4.98812351543943
264.329,5.4233409610984
264.34,6.57446808510638
264.351,3.86440677966102
264.362,4.5863309352518
264.374,4.31102362204724
264.385,4.29378531073446
264.396,6.93913043478261
264.407,4.40643863179074
264.419,5.12727272727273
264.43,5.40816326530612
264.441,14.2410714285714
264.452,4.54248366013072
264.463,25.7393483709273
264.475,8.17813765182186
264.486,6.87763713080169
264.497,6.29427792915531
264.508,24.8172323759791
264.52,8.19209039548023
264.532,7.47058823529412
264.544,7.68595041322314
264.556,7
264.568,17.9182879377432
264.58,5.23809523809524
264.592,4.38413361169102
264.604,6.52173913043478
264.616,46.3414634146341
264.627,6.02409638554217
264.639,3.95669291338583
264.651,3.41417910447761
264.663,13.6731634182909
264.675,2.92887029288703
264.687,3.2618025751073
264.699,2.59943181818182
264.711,32.7066450567261
264.723,6.36942675159236
264.746,9.28152492668622
264.758,39.0349819059107
264.77,8.62244897959184
264.782,6.44913627639156
264.794,5.22988505747126
264.806,19.0326797385621
264.818,6.45970937912814
264.83,4.91452991452991
264.842,12.5076923076923
264.854,23.0851063829787
264.866,4.93230174081238
264.877,4.51546391752577
264.889,5.76687116564417
264.901,9.1304347826087
264.913,13.4978843441467
264.925,9.35379644588045
264.937,8.07365439093484
264.949,17.3325062034739
264.961,10.0316957210777
264.973,8.16393442622951
264.985,8.58394160583942
264.996,9.27125506072874
265.008,5.52845528455285
265.02,33.6237897648686
265.032,5.0259067357513
265.044,8.49246231155779
265.056,20.646492434663
265.068,15.4160583941606
265.08,5.57894736842105
265.092,6.51085141903172
265.104,24.0683229813665
265.116,8.23140495867769
265.127,6
265.139,4.21232876712329
265.151,13.5884567126725
265.163,6.7012987012987
265.175,4.2797783933518
265.187,11.7829457364341
265.199,23.6880290205562
265.211,5.86572438162544
265.223,9.21630094043887
265.235,3.04492512479201
265.246,3.00986842105263
265.258,3.37606837606838
265.27,8.57677902621723
265.282,3.76370280146163
265.294,2.945301542777
265.306,3.9185393258427
265.318,2.28395061728395
265.33,2.18884120171674
265.342,3.06413301662708
265.354,3.18518518518519
265.366,4.064039408867
265.377,2.72727272727273
265.389,2.74752475247525
265.401,4.40963855421687
265.413,36.5924657534247
265.425,2.83367556468172
265.437,2.62729124236253
265.449,2.63157894736842
265.461,6.22516556291391
265.473,19.2763157894737
265.485,4.81318681318681
265.496,4.42280945757997
265.508,27.3333333333333
